Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],tvec_x [m],tvec_y [m],tvec_z [m],rvec_x [rad],rvec_y [rad],rvec_z [rad],qx,qy,qz,qw
17.09,0,-0.012,-0.008,0,-0.002,30.238,-0.616,0,0,0,0,,,,,,,,,,
17.19,0,0.041,-0.017,0,0.005,30.254,-1.045,0,0,0,0,,,,,,,,,,
17.29,0,0.039,-0.01,0,0.005,30.229,-0.247,0,0,0,0,,,,,,,,,,
17.39,0,0.026,-0.02,0,0.003,30.254,-0.817,0,0,0,0,,,,,,,,,,
17.49,0,-0.006,-0.016,0,-0.001,30.241,-0.931,0,0,0,0,,,,,,,,,,
17.59,0,-0.001,-0.015,0,0,30.238,-0.66,0,0,0,0,,,,,,,,,,
17.69,0,-0.01,-0.018,0,-0.001,30.236,-0.089,0,0,0,0,,,,,,,,,,
17.791,0,-0.016,-0.008,0,-0.002,30.229,-0.547,0,0,0,0,,,,,,,,,,
17.891,0,-0.023,-0.016,0,-0.003,30.243,-0.463,0,0,0,0,,,,,,,,,,
17.991,0,0.01,-0.012,0,0.001,30.225,-0.495,0,0,0,0,,,,,,,,,,
18.091,0,0.001,-0.012,0,0,30.22,-0.658,0,0,0,0,,,,,,,,,,
18.191,0,0.028,-0.015,0,0.004,30.243,-0.565,0,0,0,0,,,,,,,,,,
18.291,0,0.017,-0.01,0,0.002,30.25,-0.586,0,0,0,0,,,,,,,,,,
18.391,0,0.006,-0.015,0,0.001,30.241,-0.481,0,0,0,0,,,,,,,,,,
18.491,0,-0.002,-0.015,0,0,30.227,-0.397,0,0,0,0,,,,,,,,,,
18.591,0,0.005,-0.014,0,0.001,30.238,-0.692,0,0,0,0,,,,,,,,,,
18.691,0,-0.037,-0.004,0,-0.005,30.241,-0.453,0,0,0,0,,,,,,,,,,
18.791,0,0.031,-0.014,0,0.004,30.266,-0.613,0,0,0,0,,,,,,,,,,
18.891,0,-0.013,-0.013,0,-0.002,30.236,-0.625,0,0,0,0,,,,,,,,,,
18.992,0,-0.023,-0.011,0,-0.003,30.22,-0.413,0,0,0,0,,,,,,,,,,
19.092,0,-0.029,-0.01,0,-0.004,30.238,0.027,0,0,0,0,,,,,,,,,,
