Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
0.134,1.169,1.169,180.368,1.051,0.008,1.169,0.021,14.317,341.141,82.095,11.306,977.218,1.17557704,-4.191,-6.708,302.448,302.448
0.234,1.012,1.012,171.63,0.348,-0.147,1.001,0.006,14.337,341.151,81.839,11.277,977.228,1.17552197,-4.188,-6.257,301.463,301.463
0.334,0.97,0.97,183.746,0.189,0.063,0.968,0.003,14.336,341.152,81.954,11.298,977.222,1.17551088,-4.137,-5.882,302.02,302.02
0.434,1.176,1.175,182.691,-2.097,0.055,1.174,-0.043,14.35,341.16,81.927,11.306,977.239,1.17546976,-4.219,-6.275,302.02,302.02
0.534,1.123,1.118,184.867,-5.692,0.095,1.114,-0.111,14.339,341.154,81.98,11.306,977.244,1.17552078,-4.228,-6.35,302.859,302.859
0.634,1.07,1.07,188.046,-1.457,0.15,1.06,-0.027,14.396,341.187,81.606,11.293,977.23,1.17527497,-4.21,-5.794,302.554,302.554
0.734,0.991,0.991,181.652,1.23,0.029,0.99,0.021,14.317,341.142,82.207,11.326,977.229,1.17558587,-4.257,-5.747,301.637,301.637
0.834,1.292,1.287,203.494,5.179,0.513,1.18,0.117,14.36,341.166,81.798,11.293,977.244,1.17544055,-4.35,-6.516,302.402,302.402
0.934,2.442,2.422,250.209,7.457,2.279,0.82,0.317,14.143,341.037,83.003,11.301,977.253,1.17633462,-4.446,-6.633,302.608,302.608
1.034,1.12,1.108,265.008,8.609,1.103,0.096,0.168,13.694,340.771,85.438,11.298,977.236,1.17815757,-4.251,-6.009,302.689,302.689
1.134,1.174,1.145,108.837,-12.739,-1.084,0.37,-0.259,14.348,341.16,82.003,11.318,977.236,1.17546916,-4.323,-6.303,301.98,301.98
1.234,2.267,2.266,106.17,-2.042,-2.176,0.631,-0.081,14.934,341.506,78.799,11.288,977.228,1.17307949,-4.276,-6.953,302.111,302.111
1.335,0.97,0.97,114.406,0.22,-0.883,0.401,0.004,14.6,341.308,80.539,11.293,977.23,1.17444324,-4.184,-6.6,302.155,302.155
1.435,1.176,1.135,205.625,-15.301,0.491,1.023,-0.31,14.559,341.283,80.689,11.281,977.228,1.17461276,-4.18,-6.388,301.918,301.918
1.535,2.485,2.478,242.187,4.155,2.192,1.156,0.18,14.23,341.089,82.51,11.296,977.229,1.17595232,-4.268,-6.826,301.561,301.561
1.635,1.874,1.867,260.999,4.921,1.844,0.292,0.161,13.59,340.709,86.041,11.301,977.229,1.17857516,-4.269,-7.068,301.992,301.992
1.735,0.709,0.316,355.829,-63.483,0.023,-0.316,-0.634,13.652,340.747,85.804,11.321,977.227,1.17830646,-4.234,-6.9,301.886,301.886
1.835,2.115,2.11,115.517,-3.815,-1.904,0.909,-0.141,14.552,341.281,80.942,11.321,977.229,1.17462552,-4.113,-7.041,301.049,301.049
1.935,1.944,1.937,90.301,-4.602,-1.937,0.01,-0.156,14.767,341.407,79.676,11.293,977.217,1.17374384,-4.275,-7.303,301.714,301.714
2.035,0.497,0.475,90.887,-16.999,-0.475,0.007,-0.145,14.695,341.365,80.081,11.3,977.218,1.17403448,-4.35,-7.209,302.079,302.079
2.135,2.136,2.134,230.967,-2.846,1.657,1.344,-0.106,14.77,341.409,79.678,11.296,977.223,1.173738,-4.116,-7.34,301.907,301.907
2.235,2.251,2.248,262.901,2.953,2.231,0.278,0.116,14.175,341.057,82.871,11.309,977.218,1.17615843,-4.256,-7.39,301.679,301.679
2.335,1.581,1.551,285.984,11.192,1.491,-0.427,0.307,13.715,340.785,85.524,11.334,977.232,1.1780498,-4.229,-7.241,301.924,301.924
2.435,1.547,1.538,115.407,-6.103,-1.389,0.66,-0.164,14.676,341.354,80.214,11.306,977.238,1.17413688,-4.249,-7.292,302.559,302.559
2.535,2.138,2.138,90.079,-0.641,-2.138,0.003,-0.024,15.253,341.697,77.347,11.317,977.218,1.17175817,-4.202,-7.352,301.944,301.944
2.635,1.577,1.577,93.992,-0.105,-1.573,0.11,-0.003,15.05,341.574,78.214,11.288,977.219,1.17259848,-4.147,-7.111,301.901,301.901
2.735,0.706,0.631,214.972,-26.516,0.362,0.517,-0.315,14.913,341.494,78.928,11.293,977.239,1.17317677,-4.185,-7.134,301.819,301.819
2.835,2.269,2.267,244.875,2.255,2.053,0.963,0.089,14.712,341.377,80.174,11.333,977.239,1.17398131,-4.259,-7.402,301.783,301.783
2.935,1.97,1.965,269.455,3.94,1.965,0.019,0.135,14.037,340.975,83.576,11.301,977.216,1.17672455,-4.177,-7.22,301.083,301.083
3.035,0.787,0.69,305.089,28.776,0.565,-0.397,0.379,13.944,340.919,84.108,11.306,977.22,1.17711008,-4.237,-6.898,302.072,302.072
3.135,2.317,2.296,101.231,-7.796,-2.252,0.447,-0.314,14.862,341.464,79.273,11.309,977.232,1.17336965,-4.255,-7.014,301.697,301.697
3.235,2.29,2.285,95.461,-3.852,-2.275,0.217,-0.154,14.849,341.457,79.408,11.321,977.225,1.17341101,-4.171,-7.071,302.674,302.674
3.335,0.839,0.803,104.883,-16.923,-0.776,0.206,-0.244,14.661,341.346,80.357,11.318,977.225,1.17417479,-4.289,-6.517,301.765,301.765
3.435,2.109,2.106,221.628,-3.189,1.399,1.574,-0.117,14.61,341.316,80.616,11.317,977.219,1.17437589,-4.172,-6.223,301.909,301.909
3.535,2.18,2.177,254.032,2.862,2.093,0.599,0.109,14.151,341.041,82.804,11.273,977.236,1.17629158,-4.309,-6.628,301.578,301.578
3.635,1.382,1.375,286.388,-5.513,1.319,-0.388,-0.133,13.768,340.817,85.276,11.341,977.237,1.17783749,-4.241,-6.525,301.863,301.863
3.735,0.944,0.93,97.443,-9.811,-0.922,0.121,-0.161,14.34,341.154,81.951,11.301,977.229,1.17549956,-4.345,-5.822,302.177,302.177
