Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
8.722,0.0,-0.02,-0.001,0.0,-0.003,31.607,0.065,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
8.866,-0.0,0.052,-0.001,-0.0,0.007,31.602,0.317,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.01,-0.0,-0.023,-0.003,-0.0,-0.003,31.595,0.176,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.147,-0.0,0.01,-0.001,-0.0,0.001,31.604,0.217,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.287,-0.0,-0.016,0.003,-0.0,-0.002,31.588,0.07,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.43,-0.0,0.021,-0.001,-0.0,0.003,31.604,0.093,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.574,-0.0,-0.057,-0.001,-0.0,-0.007,31.591,0.123,-0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.709,0.0,0.015,-0.007,0.0,0.002,31.604,-0.224,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.849,0.385,7.624,-0.41,0.049,0.97,31.486,-15.737,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
9.996,2.146,16.553,-0.389,0.273,2.106,31.499,-15.295,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.134,5.145,24.673,-0.394,0.655,3.139,31.449,-12.864,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.276,9.329,34.847,-0.307,1.187,4.434,31.442,-11.632,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.415,14.652,40.721,-0.628,1.864,5.181,31.321,-18.641,70.0,0.0,0.0,13.955,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.556,21.176,49.786,-0.447,2.694,6.335,31.241,-18.963,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.699,28.911,60.119,-0.394,3.678,7.649,31.237,-15.853,70.0,0.0,0.0,13.889,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.837,37.844,68.201,-0.475,4.815,8.677,31.147,-15.447,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
10.976,47.828,76.342,-0.476,6.085,9.713,31.049,-16.509,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
11.117,59.155,83.611,-0.387,7.527,10.638,31.029,-21.737,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
11.255,71.411,94.389,-0.473,9.086,12.01,30.974,-12.599,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
11.396,85.135,100.794,-0.369,10.832,12.825,30.841,-22.268,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
11.538,100.118,109.088,-0.371,12.738,13.88,30.816,-22.328,70.0,0.0,0.0,14.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,
