frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
0,0.0000,432.500,1624.500,65.000,39.000,1,
1,0.0167,432.500,1624.500,65.000,39.000,1,0.000
2,0.0334,431.500,1624.500,61.000,37.000,1,59.940
3,0.0501,431.500,1624.500,61.000,37.000,1,0.000
4,0.0667,432.500,1624.500,65.000,39.000,1,59.940
5,0.0834,432.500,1624.500,65.000,39.000,1,0.000
6,0.1001,432.500,1624.500,65.000,39.000,1,0.000
7,0.1168,432.000,1624.000,66.000,40.000,1,42.384
8,0.1335,432.500,1624.500,65.000,39.000,1,42.384
9,0.1502,432.500,1624.500,65.000,39.000,1,0.000
10,0.1668,432.500,1624.500,61.000,37.000,1,0.000
11,0.1835,430.500,1624.500,61.000,37.000,1,119.880
12,0.2002,431.500,1623.500,61.000,37.000,1,84.768
13,0.2169,431.500,1624.500,61.000,37.000,1,59.940
14,0.2336,431.000,1624.000,64.000,38.000,1,42.384
15,0.2503,432.500,1624.500,65.000,39.000,1,94.774
16,0.2669,432.500,1624.500,65.000,39.000,1,0.000
17,0.2836,433.000,1624.000,64.000,38.000,1,42.384
18,0.3003,432.500,1624.500,65.000,39.000,1,42.384
19,0.3170,432.500,1624.500,65.000,39.000,1,0.000
20,0.3337,432.500,1624.500,65.000,39.000,1,0.000
21,0.3503,434.000,1625.000,64.000,38.000,1,94.774
22,0.3670,432.500,1624.500,65.000,39.000,1,94.774
23,0.3837,433.000,1624.000,66.000,40.000,1,42.384
24,0.4004,433.000,1624.000,66.000,40.000,1,0.000
25,0.4171,432.500,1624.500,65.000,39.000,1,42.384
26,0.4338,433.500,1624.500,65.000,39.000,1,59.940
27,0.4505,433.500,1624.500,65.000,39.000,1,0.000
28,0.4671,433.500,1624.500,65.000,39.000,1,0.000
29,0.4838,433.500,1624.500,65.000,39.000,1,0.000
30,0.5005,433.000,1625.000,66.000,40.000,1,42.384
31,0.5172,433.000,1624.000,66.000,40.000,1,59.940
32,0.5339,433.500,1623.500,65.000,39.000,1,42.384
33,0.5505,433.500,1625.500,65.000,39.000,1,119.880
34,0.5672,433.500,1624.500,65.000,39.000,1,59.940
35,0.5839,433.500,1624.500,65.000,39.000,1,0.000
36,0.6006,433.000,1625.000,64.000,38.000,1,42.384
37,0.6173,432.500,1624.500,65.000,39.000,1,42.384
38,0.6340,433.500,1624.500,65.000,39.000,1,59.940
39,0.6507,433.500,1624.500,65.000,39.000,1,0.000
40,0.6673,433.500,1625.500,65.000,39.000,1,59.940
41,0.6840,433.000,1625.000,66.000,40.000,1,42.384
42,0.7007,432.500,1624.500,65.000,39.000,1,42.384
43,0.7174,434.000,1625.000,64.000,38.000,1,94.774
44,0.7341,432.500,1624.500,65.000,39.000,1,94.774
45,0.7508,434.000,1625.000,64.000,38.000,1,94.774
46,0.7674,433.500,1624.500,65.000,39.000,1,42.384
47,0.7841,432.500,1625.500,65.000,39.000,1,84.768
48,0.8008,433.500,1625.500,65.000,39.000,1,59.940
49,0.8175,432.500,1624.500,65.000,39.000,1,84.768
50,0.8342,433.500,1625.500,65.000,39.000,1,84.768
51,0.8508,432.500,1625.500,65.000,39.000,1,59.940
