frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
0,0.0000,444.000,1626.000,52.000,28.000,1,
1,0.0167,444.000,1626.000,52.000,28.000,1,0.000
2,0.0334,444.000,1626.000,52.000,28.000,1,0.000
3,0.0501,444.000,1626.000,52.000,28.000,1,0.000
4,0.0667,444.000,1626.000,52.000,28.000,1,0.000
5,0.0834,444.000,1626.000,52.000,28.000,1,0.000
6,0.1001,444.000,1627.000,52.000,28.000,1,59.940
7,0.1168,445.000,1627.000,52.000,28.000,1,59.940
8,0.1335,444.000,1627.000,52.000,28.000,1,59.940
9,0.1502,444.000,1627.000,52.000,28.000,1,0.000
10,0.1668,444.000,1626.000,52.000,28.000,1,59.940
11,0.1835,444.000,1627.000,52.000,28.000,1,59.940
12,0.2002,444.000,1627.000,52.000,28.000,1,0.000
13,0.2169,445.000,1627.000,52.000,28.000,1,59.940
14,0.2336,444.000,1627.000,52.000,28.000,1,59.940
15,0.2503,444.000,1627.000,52.000,28.000,1,0.000
16,0.2669,444.000,1627.000,52.000,28.000,1,0.000
17,0.2836,444.000,1627.000,52.000,28.000,1,0.000
18,0.3003,444.000,1627.000,52.000,28.000,1,0.000
19,0.3170,444.000,1627.000,52.000,28.000,1,0.000
20,0.3337,445.000,1627.000,52.000,28.000,1,59.940
21,0.3503,444.000,1627.000,52.000,28.000,1,59.940
22,0.3670,444.000,1627.000,52.000,28.000,1,0.000
23,0.3837,444.000,1626.000,52.000,28.000,1,59.940
24,0.4004,444.000,1627.000,52.000,28.000,1,59.940
25,0.4171,445.000,1627.000,52.000,28.000,1,59.940
26,0.4338,444.500,1627.500,53.000,29.000,1,42.384
27,0.4505,444.000,1626.000,52.000,28.000,1,94.774
28,0.4671,444.000,1627.000,52.000,28.000,1,59.940
29,0.4838,445.000,1627.000,52.000,28.000,1,59.940
30,0.5005,444.500,1627.500,53.000,29.000,1,42.384
31,0.5172,444.000,1626.000,52.000,28.000,1,94.774
32,0.5339,444.000,1627.000,52.000,28.000,1,59.940
33,0.5505,444.000,1627.000,52.000,28.000,1,0.000
34,0.5672,444.000,1627.000,52.000,28.000,1,0.000
35,0.5839,444.500,1627.500,53.000,29.000,1,42.384
36,0.6006,444.000,1626.000,52.000,28.000,1,94.774
37,0.6173,444.000,1627.000,52.000,28.000,1,59.940
38,0.6340,443.500,1627.500,53.000,29.000,1,42.384
39,0.6507,443.000,1626.000,52.000,28.000,1,94.774
40,0.6673,444.000,1627.000,52.000,28.000,1,84.768
41,0.6840,444.500,1627.500,53.000,29.000,1,42.384
42,0.7007,444.000,1626.000,52.000,28.000,1,94.774
43,0.7174,444.000,1627.000,52.000,28.000,1,59.940
44,0.7341,444.500,1627.500,53.000,29.000,1,42.384
45,0.7508,443.000,1626.000,52.000,28.000,1,127.152
46,0.7674,444.000,1627.000,52.000,28.000,1,84.768
47,0.7841,444.500,1627.500,53.000,29.000,1,42.384
48,0.8008,444.000,1626.000,52.000,28.000,1,94.774
49,0.8175,444.000,1627.000,52.000,28.000,1,59.940
50,0.8342,444.000,1627.000,52.000,28.000,1,0.000
51,0.8508,444.000,1627.000,52.000,28.000,1,0.000
52,0.8675,444.500,1627.500,53.000,29.000,1,42.384
53,0.8842,444.000,1626.000,52.000,28.000,1,94.774
54,0.9009,445.000,1627.000,52.000,28.000,1,84.768
55,0.9176,444.500,1627.500,53.000,29.000,1,42.384
56,0.9343,444.000,1626.000,52.000,28.000,1,94.774
57,0.9509,445.000,1627.000,52.000,28.000,1,84.768
58,0.9676,444.500,1627.500,53.000,29.000,1,42.384
59,0.9843,444.000,1627.000,52.000,28.000,1,42.384
60,1.0010,443.500,1627.500,53.000,29.000,1,42.384
61,1.0177,444.000,1626.000,52.000,28.000,1,94.774
62,1.0344,444.000,1627.000,52.000,28.000,1,59.940
63,1.0511,443.500,1627.500,53.000,29.000,1,42.384
64,1.0677,444.000,1627.000,52.000,28.000,1,42.384
65,1.0844,444.000,1627.000,52.000,28.000,1,0.000
66,1.1011,443.500,1627.500,53.000,29.000,1,42.384
67,1.1178,444.500,1626.500,53.000,29.000,1,84.768
68,1.1345,443.500,1627.500,53.000,29.000,1,84.768
69,1.1512,444.500,1627.500,53.000,29.000,1,59.940
70,1.1678,444.000,1626.000,52.000,28.000,1,94.774
71,1.1845,444.500,1627.500,53.000,29.000,1,94.774
72,1.2012,444.000,1626.000,52.000,28.000,1,94.774
73,1.2179,443.500,1627.500,53.000,29.000,1,94.774
74,1.2346,444.000,1627.000,52.000,28.000,1,42.384
75,1.2512,444.500,1627.500,53.000,29.000,1,42.384
76,1.2679,443.000,1627.000,52.000,28.000,1,94.774
77,1.2846,444.000,1627.000,52.000,28.000,1,59.940
78,1.3013,444.500,1627.500,53.000,29.000,1,42.384
79,1.3180,443.000,1627.000,52.000,28.000,1,94.774
80,1.3347,443.500,1627.500,53.000,29.000,1,42.384
81,1.3514,444.500,1627.500,53.000,29.000,1,59.940
82,1.3680,443.500,1626.500,53.000,29.000,1,84.768
83,1.3847,443.500,1627.500,53.000,29.000,1,59.940
84,1.4014,443.500,1627.500,53.000,29.000,1,0.000
85,1.4181,444.000,1626.000,52.000,28.000,1,94.774
86,1.4348,443.500,1627.500,53.000,29.000,1,94.774
87,1.4515,444.000,1627.000,52.000,28.000,1,42.384
88,1.4681,443.500,1627.500,53.000,29.000,1,42.384
89,1.4848,443.500,1627.500,53.000,29.000,1,0.000
90,1.5015,443.500,1627.500,53.000,29.000,1,0.000
91,1.5182,443.500,1627.500,53.000,29.000,1,0.000
92,1.5349,443.500,1627.500,53.000,29.000,1,0.000
93,1.5515,443.500,1627.500,53.000,29.000,1,0.000
94,1.5682,443.500,1627.500,53.000,29.000,1,0.000
95,1.5849,443.500,1627.500,53.000,29.000,1,0.000
96,1.6016,443.500,1627.500,53.000,29.000,1,0.000
97,1.6183,443.500,1627.500,53.000,29.000,1,0.000
98,1.6350,443.500,1627.500,53.000,29.000,1,0.000
99,1.6517,443.500,1627.500,53.000,29.000,1,0.000
100,1.6683,443.500,1627.500,53.000,29.000,1,0.000
101,1.6850,444.500,1627.500,53.000,29.000,1,59.940
102,1.7017,443.500,1627.500,53.000,29.000,1,59.940
103,1.7184,443.500,1627.500,53.000,29.000,1,0.000
104,1.7351,443.500,1627.500,53.000,29.000,1,0.000
105,1.7518,444.500,1627.500,53.000,29.000,1,59.940
106,1.7684,443.500,1627.500,53.000,29.000,1,59.940
107,1.7851,443.500,1626.500,53.000,29.000,1,59.940
108,1.8018,443.500,1627.500,53.000,29.000,1,59.940
109,1.8185,444.500,1626.500,53.000,29.000,1,84.768
110,1.8352,443.500,1627.500,53.000,29.000,1,84.768
111,1.8518,443.000,1627.000,52.000,28.000,1,42.384
112,1.8685,444.500,1627.500,53.000,29.000,1,94.774
113,1.8852,443.000,1627.000,52.000,28.000,1,94.774
114,1.9019,443.500,1627.500,53.000,29.000,1,42.384
115,1.9186,443.500,1627.500,53.000,29.000,1,0.000
116,1.9353,444.000,1627.000,52.000,28.000,1,42.384
117,1.9520,444.500,1628.500,53.000,29.000,1,94.774
118,1.9686,443.500,1627.500,53.000,29.000,1,84.768
119,1.9853,443.500,1627.500,53.000,29.000,1,0.000
120,2.0020,443.500,1626.500,53.000,29.000,1,59.940
121,2.0187,443.500,1627.500,53.000,29.000,1,59.940
122,2.0354,443.500,1626.500,53.000,29.000,1,59.940
123,2.0520,443.500,1626.500,53.000,29.000,1,0.000
124,2.0687,442.500,1627.500,53.000,29.000,1,84.768
125,2.0854,443.500,1627.500,53.000,29.000,1,59.940
126,2.1021,443.500,1626.500,53.000,29.000,1,59.940
127,2.1188,443.500,1627.500,53.000,29.000,1,59.940
128,2.1355,443.500,1627.500,53.000,29.000,1,0.000
129,2.1522,443.500,1626.500,53.000,29.000,1,59.940
130,2.1688,443.500,1627.500,53.000,29.000,1,59.940
131,2.1855,443.500,1627.500,53.000,29.000,1,0.000
132,2.2022,442.500,1627.500,53.000,29.000,1,59.940
133,2.2189,443.500,1627.500,53.000,29.000,1,59.940
134,2.2356,443.500,1626.500,53.000,29.000,1,59.940
135,2.2523,443.500,1627.500,53.000,29.000,1,59.940
136,2.2689,443.500,1627.500,53.000,29.000,1,0.000
137,2.2856,443.500,1626.500,53.000,29.000,1,59.940
138,2.3023,443.500,1627.500,53.000,29.000,1,59.940
139,2.3190,443.500,1627.500,53.000,29.000,1,0.000
140,2.3357,443.500,1627.500,53.000,29.000,1,0.000
141,2.3523,443.500,1627.500,53.000,29.000,1,0.000
142,2.3690,443.500,1626.500,53.000,29.000,1,59.940
143,2.3857,444.500,1627.500,53.000,29.000,1,84.768
144,2.4024,443.500,1627.500,53.000,29.000,1,59.940
145,2.4191,444.500,1626.500,53.000,29.000,1,84.768
146,2.4358,443.500,1626.500,53.000,29.000,1,59.940
147,2.4525,444.500,1627.500,53.000,29.000,1,84.768
148,2.4691,443.500,1627.500,53.000,29.000,1,59.940
149,2.4858,444.500,1626.500,53.000,29.000,1,84.768
150,2.5025,443.500,1626.500,53.000,29.000,1,59.940
151,2.5192,443.500,1627.500,53.000,29.000,1,59.940
152,2.5359,444.500,1626.500,53.000,29.000,1,84.768
153,2.5526,443.500,1627.500,53.000,29.000,1,84.768
154,2.5692,444.500,1627.500,53.000,29.000,1,59.940
155,2.5859,443.500,1627.500,53.000,29.000,1,59.940
156,2.6026,443.500,1627.500,53.000,29.000,1,0.000
157,2.6193,443.500,1626.500,53.000,29.000,1,59.940
158,2.6360,444.500,1627.500,53.000,29.000,1,84.768
159,2.6526,444.500,1627.500,53.000,29.000,1,0.000
160,2.6693,444.500,1626.500,53.000,29.000,1,59.940
161,2.6860,444.500,1627.500,53.000,29.000,1,59.940
162,2.7027,445.500,1627.500,53.000,29.000,1,59.940
163,2.7194,446.500,1627.500,53.000,29.000,1,59.940
164,2.7361,446.500,1627.500,53.000,29.000,1,0.000
165,2.7528,448.500,1628.500,53.000,29.000,1,134.030
166,2.7694,449.500,1628.500,53.000,29.000,1,59.940
167,2.7861,450.500,1628.500,53.000,29.000,1,59.940
168,2.8028,452.500,1627.500,53.000,29.000,1,134.030
169,2.8195,453.500,1627.500,53.000,29.000,1,59.940
170,2.8362,455.500,1628.500,53.000,29.000,1,134.030
171,2.8529,457.500,1628.500,53.000,29.000,1,119.880
172,2.8695,458.500,1629.500,53.000,29.000,1,84.768
173,2.8862,461.500,1629.500,53.000,29.000,1,179.820
174,2.9029,462.500,1629.500,53.000,29.000,1,59.940
175,2.9196,465.500,1629.500,53.000,29.000,1,179.820
176,2.9363,466.500,1629.500,53.000,29.000,1,59.940
177,2.9529,469.500,1630.500,53.000,29.000,1,189.547
178,2.9696,470.500,1630.500,53.000,29.000,1,59.940
179,2.9863,473.500,1630.500,53.000,29.000,1,179.820
180,3.0030,477.500,1630.500,53.000,29.000,1,239.760
181,3.0197,498.500,1626.500,53.000,29.000,1,1281.372
182,3.0364,500.000,1626.500,54.000,29.000,1,89.910
183,3.0531,503.000,1627.500,54.000,29.000,1,189.547
184,3.0697,503.000,1626.500,54.000,29.000,1,59.940
185,3.0864,504.000,1627.500,54.000,29.000,1,84.768
186,3.1031,507.000,1627.500,54.000,29.000,1,179.820
187,3.1198,510.000,1627.500,54.000,29.000,1,179.820
188,3.1365,514.000,1627.500,54.000,29.000,1,239.760
189,3.1532,518.000,1628.500,54.000,29.000,1,247.139
190,3.1698,522.000,1628.500,54.000,29.000,1,239.760
191,3.1865,526.000,1628.500,54.000,29.000,1,239.760
192,3.2032,529.000,1629.500,54.000,29.000,1,189.547
193,3.2199,533.000,1629.500,54.000,29.000,1,239.760
194,3.2366,537.000,1629.500,54.000,29.000,1,239.760
195,3.2532,541.000,1630.500,54.000,29.000,1,247.139
196,3.2699,545.000,1630.500,54.000,29.000,1,239.760
197,3.2866,550.000,1630.500,54.000,29.000,1,299.700
198,3.3033,554.000,1631.500,54.000,29.000,1,247.139
199,3.3200,559.000,1631.500,54.000,29.000,1,299.700
200,3.3367,564.000,1632.500,54.000,29.000,1,305.636
201,3.3534,568.000,1632.500,54.000,29.000,1,239.760
202,3.3700,573.000,1632.500,54.000,29.000,1,299.700
203,3.3867,577.000,1633.500,54.000,29.000,1,247.139
204,3.4034,582.000,1633.500,54.000,29.000,1,299.700
205,3.4201,588.000,1633.500,54.000,29.000,1,359.640
206,3.4368,593.000,1634.500,54.000,29.000,1,305.636
207,3.4535,598.000,1634.500,54.000,29.000,1,299.700
208,3.4701,604.000,1635.500,54.000,29.000,1,364.601
209,3.4868,608.000,1635.500,54.000,29.000,1,239.760
210,3.5035,614.000,1635.500,54.000,29.000,1,359.640
211,3.5202,620.000,1636.500,54.000,29.000,1,364.601
212,3.5369,625.000,1637.500,54.000,29.000,1,305.636
213,3.5535,632.000,1636.500,54.000,29.000,1,423.840
214,3.5702,638.000,1637.500,54.000,29.000,1,364.601
215,3.5869,644.000,1638.500,54.000,29.000,1,364.601
216,3.6036,650.000,1638.500,54.000,29.000,1,359.640
217,3.6203,656.000,1638.500,54.000,29.000,1,359.640
218,3.6370,662.000,1639.500,54.000,29.000,1,364.601
219,3.6537,668.000,1639.500,54.000,29.000,1,359.640
220,3.6703,675.000,1641.500,54.000,29.000,1,436.370
221,3.6870,681.000,1640.500,54.000,29.000,1,364.601
222,3.7037,688.000,1641.500,54.000,29.000,1,423.840
223,3.7204,695.000,1642.500,54.000,29.000,1,423.840
224,3.7371,702.000,1642.500,54.000,29.000,1,419.580
225,3.7538,708.000,1643.500,54.000,29.000,1,364.601
226,3.7704,715.000,1643.500,54.000,29.000,1,419.580
227,3.7871,723.000,1644.500,54.000,29.000,1,483.252
228,3.8038,730.000,1644.500,54.000,29.000,1,419.580
229,3.8205,737.000,1644.500,54.000,29.000,1,419.580
230,3.8372,745.000,1645.500,54.000,29.000,1,483.252
231,3.8538,752.000,1646.500,54.000,29.000,1,423.840
232,3.8705,759.000,1646.500,54.000,29.000,1,419.580
233,3.8872,767.000,1647.500,54.000,29.000,1,483.252
234,3.9039,775.000,1647.500,54.000,29.000,1,479.520
235,3.9206,782.000,1648.500,54.000,29.000,1,423.840
236,3.9373,790.000,1649.500,54.000,29.000,1,483.252
237,3.9539,798.000,1649.500,54.000,29.000,1,479.520
238,3.9706,806.000,1650.500,54.000,29.000,1,483.252
239,3.9873,814.000,1650.500,54.000,29.000,1,479.520
240,4.0040,822.000,1651.500,54.000,29.000,1,483.252
241,4.0207,830.000,1651.500,54.000,29.000,1,479.520
242,4.0374,838.000,1652.500,54.000,29.000,1,483.252
243,4.0541,847.000,1653.500,54.000,29.000,1,542.780
244,4.0707,855.000,1654.500,54.000,29.000,1,483.252
245,4.0874,864.000,1654.500,54.000,29.000,1,539.461
246,4.1041,873.000,1654.500,54.000,29.000,1,539.461
247,4.1208,881.000,1656.500,54.000,29.000,1,494.278
248,4.1375,890.000,1656.500,54.000,29.000,1,539.461
249,4.1542,899.000,1657.500,54.000,29.000,1,542.780
250,4.1708,908.000,1657.500,54.000,29.000,1,539.461
251,4.1875,917.000,1658.500,54.000,29.000,1,542.780
252,4.2042,926.000,1659.500,54.000,29.000,1,542.780
253,4.2209,936.000,1659.500,54.000,29.000,1,599.401
254,4.2376,945.000,1660.500,54.000,29.000,1,542.780
255,4.2542,954.000,1660.500,54.000,29.000,1,539.461
256,4.2709,964.000,1662.500,54.000,29.000,1,611.271
257,4.2876,973.000,1661.500,54.000,29.000,1,542.780
258,4.3043,984.000,1662.500,54.000,29.000,1,662.060
259,4.3210,993.000,1663.500,54.000,29.000,1,542.780
260,4.3377,1003.000,1664.500,54.000,29.000,1,602.390
261,4.3544,1013.000,1664.500,54.000,29.000,1,599.401
262,4.3710,1022.000,1665.500,54.000,29.000,1,542.780
263,4.3877,1032.000,1666.500,54.000,29.000,1,602.390
264,4.4044,1043.000,1666.500,54.000,29.000,1,659.341
265,4.4211,1053.000,1667.500,54.000,29.000,1,602.390
266,4.4378,1062.000,1668.500,54.000,29.000,1,542.780
267,4.4545,1073.000,1668.500,54.000,29.000,1,659.341
268,4.4711,1084.000,1668.500,54.000,29.000,1,659.341
269,4.4878,1094.000,1670.500,54.000,29.000,1,611.271
270,4.5045,1104.000,1670.500,54.000,29.000,1,599.401
271,4.5212,1113.000,1670.500,54.000,29.000,1,539.461
272,4.5379,1123.000,1671.500,54.000,29.000,1,602.390
273,4.5545,1133.000,1672.500,54.000,29.000,1,602.390
274,4.5712,1143.000,1672.500,54.000,29.000,1,599.401
275,4.5879,1154.000,1673.500,54.000,29.000,1,662.060
276,4.6046,1163.000,1673.500,54.000,29.000,1,539.461
277,4.6213,1173.000,1674.500,54.000,29.000,1,602.390
278,4.6380,1183.000,1674.500,54.000,29.000,1,599.401
279,4.6547,1193.000,1675.500,54.000,29.000,1,602.390
280,4.6713,1203.000,1675.500,54.000,29.000,1,599.401
281,4.6880,1213.000,1676.500,54.000,29.000,1,602.390
282,4.7047,1222.000,1676.500,54.000,29.000,1,539.461
283,4.7214,1231.000,1676.500,54.000,29.000,1,539.461
284,4.7381,1242.000,1677.500,54.000,29.000,1,662.060
285,4.7548,1252.000,1678.500,54.000,29.000,1,602.390
286,4.7714,1262.000,1678.500,54.000,29.000,1,599.401
287,4.7881,1271.000,1678.500,54.000,29.000,1,539.461
288,4.8048,1281.000,1679.500,54.000,29.000,1,602.390
289,4.8215,1291.000,1679.500,54.000,29.000,1,599.401
290,4.8382,1300.000,1680.500,54.000,29.000,1,542.780
291,4.8548,1309.000,1680.500,54.000,29.000,1,539.461
292,4.8715,1320.000,1680.500,54.000,29.000,1,659.341
293,4.8882,1329.000,1681.500,54.000,29.000,1,542.780
294,4.9049,1339.000,1681.500,54.000,29.000,1,599.401
295,4.9216,1349.000,1682.500,54.000,29.000,1,602.390
296,4.9383,1359.000,1682.500,54.000,29.000,1,599.401
297,4.9550,1369.000,1683.500,54.000,29.000,1,602.390
298,4.9716,1379.000,1683.500,54.000,29.000,1,599.401
299,4.9883,1388.000,1684.500,54.000,29.000,1,542.780
300,5.0050,1397.000,1684.500,54.000,29.000,1,539.461
301,5.0217,1406.000,1685.500,54.000,29.000,1,542.780
302,5.0384,1416.000,1685.500,54.000,29.000,1,599.401
303,5.0551,1425.000,1686.500,54.000,29.000,1,542.780
304,5.0717,1435.000,1686.500,54.000,29.000,1,599.401
305,5.0884,1445.000,1686.500,54.000,29.000,1,599.401
306,5.1051,1454.000,1686.500,54.000,29.000,1,539.461
307,5.1218,1464.000,1687.500,54.000,29.000,1,602.390
308,5.1385,1473.000,1687.500,54.000,29.000,1,539.461
309,5.1551,1483.000,1688.500,54.000,29.000,1,602.390
310,5.1718,1493.000,1689.500,54.000,29.000,1,602.390
311,5.1885,1502.000,1689.500,54.000,29.000,1,539.461
312,5.2052,1511.000,1689.500,54.000,29.000,1,539.461
313,5.2219,1520.000,1689.500,54.000,29.000,1,539.461
314,5.2386,1530.000,1690.500,54.000,29.000,1,602.390
315,5.2553,1538.000,1690.500,54.000,29.000,1,479.520
316,5.2719,1548.000,1690.500,54.000,29.000,1,599.401
317,5.2886,1557.000,1691.500,54.000,29.000,1,542.780
318,5.3053,1566.000,1691.500,54.000,29.000,1,539.461
319,5.3220,1576.000,1692.500,54.000,29.000,1,602.390
320,5.3387,1585.000,1692.500,54.000,29.000,1,539.461
321,5.3554,1595.000,1693.500,54.000,29.000,1,602.390
322,5.3720,1604.000,1693.500,54.000,29.000,1,539.461
323,5.3887,1613.000,1693.500,54.000,29.000,1,539.461
324,5.4054,1622.000,1694.500,54.000,29.000,1,542.780
325,5.4221,1632.000,1694.500,54.000,29.000,1,599.401
