Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
10.31,-0.0,-0.024,-0.028,-0.0,-0.003,31.195,-1.013,-0.0,0.0,0.0,0.0,,,,,,
10.387,-0.0,-0.031,-0.026,-0.0,-0.004,31.173,-0.921,-0.0,0.0,0.0,0.0,,,,,,
10.483,-0.0,0.017,-0.024,-0.0,0.002,31.166,-1.111,-0.0,0.0,0.0,0.0,,,,,,
10.581,-0.0,-0.018,-0.027,-0.0,-0.002,31.147,-1.334,-0.0,0.0,0.0,0.0,,,,,,
10.718,0.0,-0.033,-0.033,0.0,-0.004,31.177,-1.019,0.0,0.0,0.0,0.0,,,,,,
10.819,-0.0,0.017,-0.029,-0.0,0.002,31.152,-1.243,-0.0,0.0,0.0,0.0,,,,,,
10.922,-0.0,-0.018,-0.029,-0.0,-0.002,31.152,-1.172,-0.0,0.0,0.0,0.0,,,,,,
11.019,-0.0,-0.025,-0.023,-0.0,-0.003,31.161,-1.278,-0.0,0.0,0.0,0.0,,,,,,
11.119,-0.0,0.013,-0.025,-0.0,0.002,31.163,-1.041,-0.0,0.0,0.0,0.0,,,,,,
11.222,-0.0,-0.016,-0.028,-0.0,-0.002,31.173,-1.241,-0.0,0.0,0.0,0.0,,,,,,
11.317,-0.0,-0.01,-0.029,-0.0,-0.001,31.159,-1.044,48.599,0.0,0.0,13.822,,,,,,
11.421,0.0,0.061,-0.087,0.0,0.008,31.157,-3.867,48.599,0.0,0.0,14.0,,,,,,
11.514,0.197,4.328,-0.317,0.025,0.551,30.985,-9.599,48.599,0.0,0.0,14.0,,,,,,
11.613,0.922,9.133,-0.329,0.117,1.162,30.855,-11.752,48.599,0.0,0.0,14.0,,,,,,
11.719,2.113,14.057,-0.229,0.269,1.789,30.766,-8.046,48.599,0.0,0.0,14.0,,,,,,
11.82,3.765,18.894,-0.241,0.479,2.404,30.636,-9.288,48.599,0.0,0.0,14.0,,,,,,
11.921,5.866,23.785,-0.216,0.746,3.026,30.583,-10.44,48.599,0.0,0.0,14.0,,,,,,
12.022,8.414,27.737,-0.276,1.071,3.529,30.378,-12.377,48.599,0.0,0.0,14.0,,,,,,
12.121,11.412,32.867,-0.186,1.452,4.182,30.293,-12.956,48.599,0.0,0.0,14.0,,,,,,
12.221,14.853,38.364,-0.17,1.89,4.881,30.156,-6.776,48.599,0.0,0.0,14.0,,,,,,
12.321,18.747,40.725,-0.326,2.385,5.182,29.811,-9.268,48.599,0.0,0.0,14.0,,,,,,
12.421,23.107,44.217,-0.41,2.94,5.626,29.619,-17.545,48.599,0.0,0.0,14.0,,,,,,
12.52,27.91,51.331,-0.266,3.551,6.531,29.594,-9.226,48.599,0.0,0.0,14.0,,,,,,
12.618,33.165,53.335,-0.424,4.22,6.786,29.313,-14.405,48.599,0.0,0.0,14.0,,,,,,
12.716,38.874,60.058,-0.344,4.946,7.641,29.206,-9.601,48.599,0.0,0.0,14.0,,,,,,
12.819,45.037,63.621,-0.254,5.73,8.095,29.119,-13.336,48.599,0.0,0.0,14.0,,,,,,
12.917,51.65,66.901,-0.284,6.572,8.512,28.982,-14.989,48.599,0.0,0.0,14.0,,,,,,
13.016,58.706,71.49,-0.363,7.469,9.096,28.644,-16.5,48.599,0.0,0.0,14.0,,,,,,
13.115,66.221,76.54,-0.35,8.426,9.739,28.502,-15.528,48.599,0.0,0.0,14.0,,,,,,
13.216,74.268,81.406,-0.403,9.449,10.358,28.212,-14.025,48.599,0.0,0.0,14.0,,,,,,
13.317,82.686,84.762,-0.319,10.521,10.785,28.139,-17.748,48.599,0.0,0.0,14.0,,,,,,
13.419,91.561,90.199,-0.25,11.65,11.476,28.255,-14.202,48.599,0.0,0.0,14.0,,,,,,
13.517,100.882,95.977,-0.438,12.836,12.212,27.872,-9.066,48.599,0.0,0.0,14.0,,,,,,
13.617,110.655,98.161,-0.292,14.079,12.49,27.623,-18.826,48.599,0.0,0.0,14.0,,,,,,
13.718,120.872,104.814,-0.45,15.379,13.336,27.52,-8.135,48.599,0.0,0.0,14.0,,,,,,
13.818,131.405,107.483,-0.394,16.719,13.676,27.924,-5.677,48.599,0.0,0.0,14.0,,,,,,
13.917,142.117,107.072,-0.109,18.082,13.623,28.217,-17.431,48.599,0.0,0.0,14.0,,,,,,
14.019,152.978,110.006,-0.154,19.464,13.997,28.644,-8.418,48.599,0.0,0.0,14.0,,,,,,
14.115,163.952,111.123,-0.215,20.86,14.139,28.783,-5.988,48.599,0.0,0.0,14.0,,,,,,
14.218,175.018,111.448,-0.097,22.268,14.18,28.998,-10.257,48.599,0.0,0.0,14.0,,,,,,
