Timestamp [s],Angular position [turns],Angular velocity [turns/s],Torque [Nm],Linear position [m],Linear speed [m/s],Voltage [V],Current [A],Reference x_ref [m],Estimated plane position [m],Estimated plane velocity [m/s],Reference velocity [m/s],x ArUco [m],y ArUco [m],z ArUco [m],roll ArUco [deg],pitch ArUco [deg],yaw ArUco [deg]
27.988,-0.003,-0.008,0.086,-0.0,-0.001,30.286,4.064,-0.0,0.0,0.0,0.0,,,,,,
28.088,-0.003,-0.014,0.081,-0.0,-0.002,30.279,3.561,-0.0,0.0,0.0,0.0,,,,,,
28.188,-0.003,0.003,0.08,-0.0,0.0,30.25,3.216,-0.0,0.0,0.0,0.0,,,,,,
28.288,-0.003,-0.038,0.088,-0.0,-0.005,30.273,3.5,-0.0,0.0,0.0,0.0,,,,,,
28.388,-0.003,0.031,0.087,-0.0,0.004,30.263,3.425,-0.0,0.0,0.0,0.0,,,,,,
28.488,-0.003,0.031,0.1,-0.0,0.004,30.261,3.164,-0.0,0.0,0.0,0.0,,,,,,
28.588,-0.002,0.017,0.088,-0.0,0.002,30.261,2.896,-0.0,0.0,0.0,0.0,,,,,,
28.689,-0.002,0.03,0.09,-0.0,0.004,30.259,2.936,-0.0,0.0,0.0,0.0,,,,,,
28.789,-0.002,0.032,0.089,-0.0,0.004,30.27,3.13,-0.0,0.0,0.0,0.0,,,,,,
28.889,-0.001,-0.048,0.076,-0.0,-0.006,30.273,3.269,-0.0,0.0,0.0,0.0,,,,,,
28.989,-0.001,-0.011,0.087,-0.0,-0.001,30.279,3.59,-0.0,0.0,0.0,0.0,,,,,,
29.089,-0.001,0.008,0.089,-0.0,0.001,30.261,3.207,-0.0,0.0,0.0,0.0,,,,,,
29.189,-0.001,-0.014,0.085,-0.0,-0.002,30.279,4.041,-0.0,0.0,0.0,0.0,,,,,,
29.289,-0.001,0.029,0.091,-0.0,0.004,30.252,3.089,-0.0,0.0,0.0,0.0,,,,,,
29.389,-0.001,0.02,0.086,-0.0,0.003,30.302,3.305,-0.0,0.0,0.0,0.0,,,,,,
29.489,-0.001,-0.007,0.086,-0.0,-0.001,30.291,3.311,-0.0,0.0,0.0,0.0,,,,,,
29.589,-0.001,0.016,0.084,-0.0,0.002,30.275,3.564,-0.0,0.0,0.0,0.0,,,,,,
29.689,-0.001,0.008,0.094,-0.0,0.001,30.282,3.297,-0.0,0.0,0.0,0.0,,,,,,
29.789,-0.001,-0.012,0.088,-0.0,-0.001,30.277,3.536,-0.0,0.0,0.0,0.0,,,,,,
29.889,-0.001,-0.003,0.093,-0.0,-0.0,30.268,3.85,-0.0,0.0,0.0,0.0,,,,,,
29.989,-0.001,0.005,0.084,-0.0,0.001,30.277,3.689,-0.0,0.0,0.0,0.0,,,,,,
30.089,-0.001,0.024,0.082,-0.0,0.003,30.263,3.766,-0.0,0.0,0.0,0.0,,,,,,
30.189,-0.001,0.031,0.092,-0.0,0.004,30.275,3.444,-0.0,0.0,0.0,0.0,,,,,,
30.289,-0.001,-0.004,0.088,-0.0,-0.0,30.27,3.503,-0.0,0.0,0.0,0.0,,,,,,
30.39,-0.001,-0.007,0.083,-0.0,-0.001,30.268,3.316,-0.0,0.0,0.0,0.0,,,,,,
30.49,-0.001,0.031,0.082,-0.0,0.004,30.266,3.252,-0.0,0.0,0.0,0.0,,,,,,
30.59,-0.001,0.0,0.085,-0.0,0.0,30.273,3.277,-0.0,0.0,0.0,0.0,,,,,,
30.69,-0.001,0.039,0.086,-0.0,0.005,30.282,3.38,-0.0,0.0,0.0,0.0,,,,,,
30.79,-0.001,-0.012,0.091,-0.0,-0.001,30.291,3.415,67.761,0.0,0.0,0.374,,,,,,
30.89,0.065,1.828,-0.313,0.008,0.233,30.229,-13.018,67.761,0.0,0.0,0.705,,,,,,
30.99,0.474,6.468,-0.261,0.06,0.823,30.181,-11.547,67.761,0.0,0.0,0.795,,,,,,
31.09,1.169,7.153,-0.094,0.149,0.91,30.231,-5.687,67.761,0.0,0.0,1.409,,,,,,
31.19,1.974,10.097,-0.437,0.251,1.285,30.092,-16.924,67.761,0.0,0.0,1.552,,,,,,
31.29,3.189,13.13,-0.263,0.406,1.671,30.149,-9.456,67.761,0.0,0.0,1.091,,,,,,
31.39,4.369,9.306,0.102,0.556,1.184,30.3,4.205,67.761,0.0,0.0,0.399,,,,,,
31.49,4.99,2.926,0.1,0.635,0.372,30.268,3.95,67.761,0.0,0.0,0.072,,,,,,
31.59,5.062,-0.492,-0.078,0.644,-0.063,30.275,-3.737,67.761,0.0,0.0,0.27,,,,,,
31.69,5.121,1.613,-0.289,0.652,0.205,30.234,-11.27,67.761,0.0,0.0,0.743,,,,,,
31.79,5.473,6.011,-0.401,0.696,0.765,30.163,-16.263,67.761,0.0,0.0,0.763,,,,,,
31.89,6.162,6.975,-0.136,0.784,0.887,30.213,-5.598,67.761,0.0,0.0,1.053,,,,,,
31.991,6.93,8.416,-0.233,0.882,1.071,30.19,-9.508,67.761,0.0,0.0,1.298,,,,,,
32.091,7.885,10.688,-0.279,1.003,1.36,30.147,-10.833,67.761,0.0,0.0,1.362,,,,,,
32.191,8.997,11.385,-0.121,1.145,1.449,30.218,-5.041,67.761,0.0,0.0,1.286,,,,,,
32.291,10.05,9.771,-0.165,1.279,1.243,30.215,-5.476,67.761,0.0,0.0,1.344,,,,,,
32.391,11.064,10.337,-0.243,1.408,1.315,30.177,-10.189,67.761,0.0,0.0,1.337,,,,,,
32.491,12.125,10.437,-0.217,1.543,1.328,30.197,-8.079,67.761,0.0,0.0,1.192,,,,,,
32.591,13.123,9.126,-0.134,1.67,1.161,30.218,-5.61,67.761,0.0,0.0,1.103,,,,,,
32.691,13.99,8.376,-0.168,1.78,1.066,30.234,-6.202,67.761,0.0,0.0,1.329,,,,,,
32.791,14.921,10.703,-0.224,1.898,1.362,30.158,-9.299,67.761,0.0,0.0,1.41,,,,,,
32.891,16.055,11.669,-0.172,2.043,1.485,30.186,-7.427,67.761,0.0,0.0,1.324,,,,,,
32.991,17.155,10.286,-0.103,2.183,1.309,30.222,-4.476,67.761,0.0,0.0,1.508,,,,,,
33.091,18.247,11.734,-0.227,2.322,1.493,30.174,-10.098,67.761,0.0,0.0,1.533,,,,,,
33.191,19.477,12.368,-0.12,2.478,1.574,30.197,-3.762,67.761,0.0,0.0,1.477,,,,,,
33.291,20.673,11.532,-0.081,2.63,1.467,30.234,-2.697,67.761,0.0,0.0,1.473,,,,,,
33.391,21.813,11.447,-0.11,2.775,1.456,30.225,-2.922,67.761,0.0,0.0,1.458,,,,,,
33.491,22.955,11.006,-0.137,2.921,1.4,30.209,-3.893,67.761,0.0,0.0,1.262,,,,,,
33.591,24.015,9.641,0.004,3.055,1.227,30.254,-1.825,67.761,0.0,0.0,1.107,,,,,,
33.692,24.898,8.478,-0.066,3.168,1.079,30.234,-3.686,67.761,0.0,0.0,1.329,,,,,,
33.792,25.807,10.445,-0.201,3.284,1.329,30.188,-6.692,67.761,0.0,0.0,1.363,,,,,,
33.892,26.913,11.146,-0.115,3.424,1.418,30.231,-4.675,67.761,0.0,0.0,1.409,,,,,,
33.992,28.035,11.238,-0.114,3.567,1.43,30.211,-5.886,67.761,0.0,0.0,1.559,,,,,,
34.093,29.197,12.411,-0.162,3.715,1.579,30.163,-6.105,67.761,0.0,0.0,1.627,,,,,,
34.192,30.48,13.141,-0.117,3.878,1.672,30.247,-4.156,67.761,0.0,0.0,1.718,,,,,,
34.292,31.812,13.668,-0.133,4.048,1.739,30.225,-3.681,67.761,0.0,0.0,1.862,,,,,,
34.392,33.233,14.603,-0.204,4.228,1.858,30.177,-8.219,67.761,0.0,0.0,1.67,,,,,,
34.492,34.64,12.963,-0.052,4.407,1.649,30.236,-2.674,67.761,0.0,0.0,1.618,,,,,,
34.592,35.882,12.505,-0.131,4.565,1.591,30.222,-5.788,67.761,0.0,0.0,1.713,,,,,,
34.692,37.158,12.767,-0.257,4.728,1.624,30.129,-8.837,67.761,0.0,0.0,1.62,,,,,,
34.792,38.483,12.787,-0.126,4.896,1.627,30.202,-4.022,67.761,0.0,0.0,1.745,,,,,,
34.892,39.789,13.404,-0.253,5.063,1.705,30.183,-8.071,67.761,0.0,0.0,1.853,,,,,,
34.992,41.217,14.653,-0.252,5.244,1.864,30.131,-8.729,67.761,0.0,0.0,1.757,,,,,,
35.092,42.654,13.568,-0.16,5.427,1.726,30.193,-6.127,67.761,0.0,0.0,1.804,,,,,,
35.192,44.036,13.955,-0.22,5.603,1.776,30.136,-9.492,67.761,0.0,0.0,1.755,,,,,,
35.293,45.439,14.051,-0.143,5.781,1.788,30.186,-6.446,67.761,0.0,0.0,1.766,,,,,,
35.393,46.815,13.909,-0.187,5.956,1.77,30.163,-6.095,67.761,0.0,0.0,1.682,,,,,,
35.493,48.157,12.445,-0.231,6.127,1.583,30.17,-8.039,67.761,0.0,0.0,1.809,,,,,,
35.593,49.518,14.228,-0.243,6.3,1.81,30.14,-10.872,67.761,0.0,0.0,1.764,,,,,,
35.693,50.937,14.165,-0.15,6.481,1.802,30.167,-6.075,67.761,0.0,0.0,1.77,,,,,,
35.793,52.322,13.997,-0.168,6.657,1.781,30.167,-5.907,67.761,0.0,0.0,1.571,,,,,,
35.893,53.623,11.66,-0.209,6.823,1.484,30.179,-7.602,67.761,0.0,0.0,2.206,,,,,,
35.993,54.957,15.549,-0.58,6.992,1.978,29.925,-23.043,67.761,0.0,0.0,2.433,,,,,,
36.093,56.825,20.307,-0.305,7.23,2.584,29.994,-10.697,67.761,0.0,0.0,2.493,,,,,,
36.193,58.896,20.752,-0.101,7.494,2.64,30.172,-4.728,67.761,0.0,0.0,2.508,,,,,,
36.293,60.874,19.788,-0.169,7.745,2.518,30.151,-6.887,67.761,0.0,0.0,2.524,,,,,,
36.393,62.831,19.564,-0.205,7.994,2.489,30.122,-8.294,67.761,0.0,0.0,2.562,,,,,,
36.493,64.83,20.094,-0.206,8.249,2.557,30.11,-8.166,67.761,0.0,0.0,2.481,,,,,,
36.593,66.811,19.389,-0.166,8.501,2.467,30.126,-6.481,67.761,0.0,0.0,2.627,,,,,,
36.693,68.807,20.612,-0.246,8.755,2.623,30.051,-10.595,67.761,0.0,0.0,2.606,,,,,,
36.793,70.883,21.138,-0.132,9.019,2.689,30.14,-4.931,67.761,0.0,0.0,2.361,,,,,,
36.893,72.836,18.49,-0.046,9.267,2.353,30.199,-2.351,67.761,0.0,0.0,2.303,,,,,,
36.993,74.606,17.362,-0.22,9.493,2.209,30.136,-9.834,67.761,0.0,0.0,2.693,,,,,,
37.094,76.527,21.071,-0.335,9.737,2.681,30.003,-12.246,67.761,0.0,0.0,2.583,,,,,,
37.194,78.661,20.84,-0.109,10.008,2.652,30.156,-4.391,67.761,0.0,0.0,2.763,,,,,,
37.294,80.781,21.907,-0.173,10.278,2.787,30.115,-6.949,67.761,0.0,0.0,2.536,,,,,,
37.394,82.866,20.353,-0.035,10.543,2.59,30.211,-1.564,67.761,0.0,0.0,2.413,,,,,,
37.494,84.76,18.358,-0.138,10.784,2.336,30.165,-6.091,67.761,0.0,0.0,2.472,,,,,,
37.594,86.637,18.92,-0.262,11.023,2.407,30.117,-8.393,67.761,0.0,0.0,2.734,,,,,,
37.694,88.683,21.354,-0.265,11.284,2.717,30.058,-9.327,67.761,0.0,0.0,2.833,,,,,,
37.794,90.932,23.192,-0.118,11.57,2.951,30.124,-5.377,67.761,0.0,0.0,2.773,,,,,,
37.894,93.154,21.223,-0.183,11.852,2.7,30.167,-5.288,67.761,0.0,0.0,2.825,,,,,,
37.994,95.331,22.231,-0.142,12.129,2.829,30.126,-5.096,67.761,0.0,0.0,2.43,,,,,,
38.094,97.421,19.23,0.025,12.395,2.447,30.236,0.684,67.761,0.0,0.0,2.632,,,,,,
38.194,99.332,19.692,-0.274,12.638,2.506,30.056,-9.376,67.761,0.0,0.0,3.001,,,,,,
38.294,101.52,23.426,-0.354,12.917,2.981,29.964,-13.921,67.761,0.0,0.0,3.112,,,,,,
38.394,104.01,24.779,-0.188,13.234,3.153,30.072,-6.968,67.761,0.0,0.0,3.04,,,,,,
38.494,106.47,23.911,-0.09,13.547,3.042,30.161,-4.703,67.761,0.0,0.0,2.826,,,,,,
38.595,108.75,21.804,-0.143,13.837,2.774,30.149,-6.896,67.761,0.0,0.0,2.811,,,,,,
38.695,110.902,22.232,-0.157,14.111,2.829,30.081,-8.33,67.761,0.0,0.0,2.928,,,,,,
38.795,113.143,22.44,-0.331,14.396,2.855,30.019,-11.701,67.761,0.0,0.0,2.815,,,,,,
38.895,115.42,22.964,-0.076,14.685,2.922,30.161,-5.364,67.761,0.0,0.0,2.741,,,,,,
38.995,117.574,20.993,-0.202,14.96,2.671,30.097,-10.596,67.761,0.0,0.0,2.782,,,,,,
39.095,119.71,21.8,-0.215,15.231,2.774,30.065,-8.293,67.761,0.0,0.0,2.387,,,,,,
39.195,121.769,19.163,0.001,15.493,2.438,30.245,0.375,67.761,0.0,0.0,2.522,,,,,,
39.295,123.635,18.482,-0.378,15.731,2.352,30.042,-12.966,67.761,0.0,0.0,2.513,,,,,,
39.395,125.6,19.71,-0.239,15.981,2.508,30.092,-11.388,67.761,0.0,0.0,1.999,,,,,,
39.495,127.449,16.582,0.123,16.216,2.11,30.252,4.2,67.761,0.0,0.0,1.633,,,,,,
39.595,128.805,11.734,-0.056,16.388,1.493,30.231,-2.431,67.761,0.0,0.0,1.65,,,,,,
