Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
0.12,1.119,1.078,269.706,-15.569,1.078,0.006,-0.3,14.525,341.278,82.246,11.536,977.254,1.17467749,-2.782,-6.464,302.496,302.496
0.22,1.144,1.137,277.504,-6.327,1.127,-0.148,-0.126,14.478,341.251,82.568,11.549,977.236,1.17484415,-2.684,-7.357,302.785,302.785
0.32,1.196,1.173,275.274,-11.258,1.168,-0.108,-0.233,14.546,341.29,82.073,11.525,977.247,1.17458916,-2.641,-4.306,302.409,302.409
0.42,1.243,1.239,285.227,-4.59,1.196,-0.325,-0.099,14.471,341.247,82.603,11.549,977.234,1.17486882,-2.795,-4.049,301.609,301.609
0.52,1.212,1.208,278.892,-5.06,1.193,-0.187,-0.107,14.469,341.245,82.543,11.536,977.232,1.17487872,-2.721,-6.494,302.041,302.041
0.62,1.174,1.169,277.441,-5.461,1.159,-0.151,-0.112,14.537,341.285,82.158,11.531,977.247,1.17462444,-2.682,-6.534,302.247,302.247
0.72,1.003,0.999,272.44,-5.093,0.998,-0.043,-0.089,14.502,341.265,82.387,11.54,977.237,1.17474902,-2.671,-4.016,301.564,301.564
0.82,0.866,0.75,271.374,-30.055,0.75,-0.018,-0.434,14.667,341.363,81.564,11.549,977.229,1.17406321,-2.718,-5.421,302.133,302.133
0.92,1.939,1.721,234.098,-27.392,1.394,1.009,-0.892,14.825,341.457,80.761,11.554,977.232,1.17341828,-2.809,-7.451,301.971,301.971
1.02,3.157,3.155,256.481,1.735,3.068,0.738,0.096,14.499,341.263,82.455,11.549,977.227,1.17474699,-2.775,-6.72,302.74,302.74
1.12,3.307,3.307,276.997,0.0,3.282,-0.403,0.0,13.811,340.854,86.14,11.536,977.234,1.17757559,-2.651,-5.461,302.021,302.021
1.22,2.354,2.351,293.01,2.718,2.164,-0.919,0.112,13.646,340.755,87.006,11.525,977.236,1.178262,-2.875,-7.019,302.523,302.523
1.32,0.386,0.281,9.739,-43.401,-0.047,-0.277,-0.266,14.642,341.347,81.635,11.537,977.219,1.17415929,-2.805,-7.833,302.057,302.057
1.42,1.248,1.173,86.98,-19.962,-1.171,-0.062,-0.426,15.029,341.577,79.616,11.536,977.244,1.17261147,-2.674,-6.766,303.01,303.01
1.52,1.125,0.512,253.882,-62.893,0.492,0.142,-1.001,14.963,341.538,79.982,11.541,977.234,1.17286623,-2.771,-6.411,302.236,302.236
1.62,3.004,3.002,249.209,-1.745,2.807,1.066,-0.091,15.042,341.584,79.551,11.536,977.252,1.17256868,-2.732,-7.513,301.707,301.707
1.72,3.694,3.693,270.406,1.681,3.692,-0.026,0.108,14.403,341.206,82.968,11.549,977.248,1.17516387,-2.759,-7.192,301.866,301.866
1.82,3.952,3.952,284.869,0.0,3.82,-1.014,0.0,13.774,340.834,86.489,11.561,977.232,1.17771614,-2.811,-6.432,301.982,301.982
1.92,3.026,3.017,295.59,4.299,2.721,-1.303,0.227,13.858,340.882,85.898,11.54,977.218,1.17736244,-2.685,-7.081,302.657,302.657
2.02,0.621,0.577,80.315,-21.699,-0.569,-0.097,-0.229,14.796,341.44,80.887,11.549,977.235,1.17354274,-2.966,-7.479,301.987,301.987
2.12,0.849,0.696,74.459,-34.971,-0.67,-0.186,-0.487,14.842,341.468,80.689,11.557,977.235,1.17335069,-2.753,-6.438,302.658,302.658
2.22,1.612,1.584,241.267,-10.738,1.389,0.761,-0.3,14.767,341.423,81.107,11.561,977.239,1.17366374,-2.657,-6.985,302.257,302.257
2.32,3.109,3.109,258.94,0.056,3.051,0.596,0.003,14.553,341.294,82.008,11.52,977.248,1.17456317,-2.774,-8.075,302.414,302.414
2.42,3.635,3.635,278.647,0.0,3.594,-0.547,0.0,13.751,340.818,86.439,11.529,977.242,1.1778363,-2.827,-7.514,302.217,302.217
2.52,3.401,3.399,290.234,1.981,3.189,-1.176,0.118,13.539,340.693,87.679,11.536,977.24,1.17870116,-2.761,-6.899,302.263,302.263
2.62,0.496,0.495,193.564,-3.375,0.116,0.481,-0.029,14.546,341.292,82.201,11.549,977.242,1.17457068,-2.887,-8.072,301.7,301.7
2.72,0.917,0.858,84.812,-20.638,-0.854,-0.078,-0.323,14.85,341.471,80.537,11.536,977.225,1.17331481,-2.79,-8.636,302.198,302.198
2.82,0.618,0.126,53.884,-78.263,-0.102,-0.074,-0.605,14.74,341.406,81.183,11.549,977.251,1.17379284,-2.729,-7.597,302.829,302.829
2.92,2.445,2.373,244.672,-13.905,2.145,1.015,-0.587,14.742,341.406,81.062,11.529,977.226,1.17376018,-2.697,-7.047,302.287,302.287
3.02,3.181,3.18,266.421,1.156,3.174,0.199,0.064,14.389,341.198,83.0,11.541,977.24,1.17521453,-2.762,-8.597,302.139,302.139
3.12,3.66,3.659,284.659,1.08,3.54,-0.926,0.069,13.759,340.823,86.369,11.525,977.252,1.17781723,-2.852,-8.277,303.12,303.12
3.22,2.159,2.157,300.281,-2.639,1.863,-1.088,-0.099,13.972,340.95,85.249,11.537,977.244,1.17692566,-2.895,-6.617,302.656,302.656
3.32,1.809,1.8,53.813,5.815,-1.453,-1.063,0.183,15.167,341.658,78.874,11.529,977.226,1.17203021,-2.641,-6.75,301.88,301.88
3.42,2.174,2.174,63.433,1.011,-1.944,-0.972,0.038,15.13,341.637,79.128,11.541,977.234,1.17218757,-2.672,-7.766,302.48,302.48
3.52,0.545,0.524,227.619,-15.977,0.387,0.353,-0.15,15.132,341.639,79.182,11.554,977.225,1.17216074,-2.634,-6.489,302.262,302.262
3.62,2.306,2.303,259.926,2.972,2.267,0.403,0.12,15.016,341.57,79.713,11.542,977.228,1.17264068,-2.936,-5.822,301.611,301.611
3.72,3.821,3.821,284.397,0.0,3.701,-0.95,0.0,14.285,341.137,83.648,11.557,977.24,1.17563295,-2.709,-6.299,303.071,303.071
3.82,3.328,3.325,287.233,2.7,3.175,-0.985,0.157,13.805,340.85,86.164,11.534,977.243,1.17761469,-2.797,-6.519,302.751,302.751
3.92,0.449,0.449,177.519,0.0,-0.019,0.449,0.0,14.737,341.404,81.18,11.546,977.236,1.17378807,-2.824,-5.456,302.33,302.33
4.02,0.766,0.763,74.823,4.843,-0.736,-0.2,0.065,14.974,341.545,79.987,11.553,977.248,1.17283368,-2.882,-5.655,301.929,301.929
4.12,0.45,0.148,301.043,-70.766,0.127,-0.076,-0.424,14.947,341.528,79.974,11.525,977.229,1.17292964,-2.784,-6.181,302.268,302.268
4.22,2.339,2.339,230.831,1.534,1.813,1.477,0.063,14.947,341.529,80.156,11.558,977.227,1.17291772,-2.667,-6.056,301.924,301.924
4.32,3.238,3.223,258.735,5.402,3.161,0.63,0.305,14.511,341.271,82.412,11.553,977.229,1.17469823,-2.625,-5.399,302.557,302.557
4.42,3.276,3.276,279.598,0.0,3.23,-0.546,0.0,13.808,340.853,86.188,11.541,977.237,1.1775918,-2.891,-6.625,301.8,301.8
4.52,2.851,2.848,290.925,2.528,2.66,-1.017,0.126,13.67,340.77,86.913,11.532,977.23,1.17815268,-2.776,-6.412,301.705,301.705
4.62,0.716,0.716,1.065,0.0,-0.013,-0.716,0.0,14.653,341.355,81.643,11.55,977.242,1.17413664,-2.756,-5.739,302.559,302.559
4.72,1.868,1.821,65.346,12.884,-1.655,-0.76,0.416,14.985,341.551,79.845,11.537,977.223,1.17276204,-2.578,-5.972,302.485,302.485
4.82,1.101,1.039,228.213,-19.355,0.775,0.692,-0.365,14.974,341.545,79.903,11.537,977.237,1.17282534,-2.754,-7.003,303.478,303.478
4.92,2.756,2.721,253.245,9.238,2.605,0.784,0.442,14.97,341.542,79.947,11.541,977.246,1.17285252,-2.872,-6.23,302.401,302.401
5.02,3.765,3.762,266.873,2.475,3.756,0.205,0.163,14.289,341.138,83.493,11.532,977.226,1.17561197,-2.853,-5.498,302.012,302.012
5.12,3.829,3.829,289.371,0.192,3.612,-1.27,0.013,13.666,340.77,87.102,11.561,977.235,1.17816365,-2.819,-6.025,301.963,301.963
5.22,2.16,2.155,294.672,3.779,1.959,-0.9,0.142,14.102,341.027,84.59,11.547,977.232,1.17637897,-2.894,-6.925,301.773,301.773
5.32,0.808,0.785,61.739,13.897,-0.691,-0.372,0.194,14.921,341.514,80.219,11.546,977.237,1.17303669,-2.814,-5.566,301.73,301.73
5.42,0.63,0.574,45.969,-24.354,-0.413,-0.399,-0.26,14.964,341.538,79.916,11.53,977.214,1.17284238,-2.599,-5.541,301.183,301.183
5.52,2.643,2.633,234.673,-4.757,2.149,1.523,-0.219,15.086,341.612,79.457,11.561,977.229,1.17235255,-2.736,-6.786,302.106,302.106
5.62,3.708,3.703,255.258,3.029,3.581,0.942,0.196,14.853,341.472,80.489,11.53,977.254,1.17334282,-2.989,-6.969,301.821,301.821
