Timestamp,S,S2,D,DV,U,V,W,T,C,H,DP,P,AD,PI,RO,MD,TD
0.05651259422302246,0.082,0.079,246.82,-14.238,0.073,0.031,-0.02,20.83,344.68,35.82,11.68,973.76,1.1475123,-1.4,1.9,41.0,41.0
0.15646934509277344,0.084,0.082,251.39,-10.243,0.078,0.026,-0.015,20.83,344.68,35.8,11.66,973.75,1.1474931,-1.4,1.9,42.0,42.0
0.3011045455932617,0.098,0.098,238.725,-4.871,0.084,0.051,-0.008,20.84,344.68,35.82,11.67,973.75,1.1474619,-1.4,1.9,42.0,42.0
0.45116496086120605,0.097,0.096,238.097,-7.668,0.081,0.051,-0.013,20.85,344.69,35.83,11.67,973.75,1.1473886,-1.4,1.9,43.0,43.0
0.6012725830078125,0.078,0.077,235.461,-9.562,0.063,0.044,-0.013,20.87,344.7,35.83,11.67,973.75,1.1473137,-1.4,1.9,42.0,42.0
0.7513494491577148,0.088,0.088,244.695,-1.65,0.08,0.038,-0.003,20.87,344.7,35.82,11.67,973.74,1.1473066,-1.4,2.0,42.0,42.0
0.9013969898223877,0.086,0.086,246.829,4.975,0.079,0.034,0.007,20.89,344.72,35.8,11.66,973.75,1.1472218,-1.4,1.9,43.0,43.0
1.0514695644378662,0.097,0.097,249.208,-1.455,0.091,0.034,-0.002,20.91,344.73,35.82,11.68,973.75,1.1471514,-1.4,1.9,42.0,42.0
1.2015209197998047,0.095,0.095,240.434,2.656,0.082,0.047,0.004,20.9,344.72,35.8,11.66,973.76,1.1471984,-1.4,2.0,42.0,42.0
1.3515839576721191,0.092,0.092,242.251,1.743,0.081,0.043,0.003,20.91,344.73,35.84,11.69,973.74,1.1471603,-1.4,2.0,41.0,41.0
1.5016593933105469,0.072,0.072,217.929,2.893,0.044,0.057,0.004,20.9,344.73,35.89,11.72,973.74,1.1471596,-1.5,2.0,42.0,42.0
1.6517360210418701,0.057,0.057,213.02,-3.904,0.031,0.048,-0.004,20.88,344.71,35.79,11.67,973.74,1.1472698,-1.4,1.9,42.0,42.0
1.8018007278442383,0.051,0.05,221.934,-10.28,0.033,0.037,-0.009,20.85,344.69,35.8,11.67,973.76,1.147415,-1.4,2.0,43.0,43.0
1.9518492221832275,0.063,0.063,215.894,-1.321,0.037,0.051,-0.001,20.82,344.67,35.8,11.66,973.75,1.1475437,-1.4,1.9,41.0,41.0
2.101938247680664,0.054,0.054,214.709,7.996,0.031,0.044,0.008,20.78,344.65,35.82,11.69,973.76,1.1477089,-1.4,2.0,42.0,42.0
2.251990795135498,0.02,0.02,221.911,-4.503,0.013,0.015,-0.002,20.75,344.63,35.79,11.7,973.76,1.1478401,-1.4,2.0,43.0,43.0
2.4020586013793945,0.016,0.015,166.561,15.335,-0.003,0.015,0.004,20.75,344.63,35.78,11.66,973.77,1.1478515,-1.4,2.0,42.0,42.0
2.552124261856079,0.012,0.011,202.453,-26.378,0.004,0.01,-0.005,20.77,344.64,35.84,11.69,973.76,1.147741,-1.4,2.0,42.0,42.0
2.7022032737731934,0.039,0.037,206.155,-18.724,0.016,0.033,-0.013,20.79,344.65,35.8,11.69,973.75,1.1476513,-1.4,2.0,43.0,43.0
2.8522419929504395,0.048,0.047,176.97,-8.174,-0.002,0.047,-0.007,20.8,344.66,35.8,11.69,973.76,1.1476426,-1.4,2.0,41.0,41.0
3.0023393630981445,0.03,0.029,172.882,14.19,-0.004,0.029,0.007,20.76,344.63,35.78,11.66,973.76,1.1477914,-1.4,2.0,42.0,42.0
3.152378797531128,0.053,0.051,168.227,15.178,-0.01,0.05,0.014,20.71,344.6,35.8,11.69,973.75,1.1479877,-1.4,2.0,42.0,42.0
3.302475690841675,0.026,0.026,169.565,11.577,-0.005,0.026,0.005,20.7,344.59,35.82,11.71,973.76,1.1480571,-1.4,2.0,42.0,42.0
3.4525277614593506,0.011,0.008,187.026,39.859,0.001,0.008,0.007,20.67,344.58,35.76,11.66,973.75,1.1481762,-1.4,2.0,42.0,42.0
3.602602481842041,0.542,0.464,7.153,-31.174,-0.058,-0.46,-0.281,20.85,344.69,35.78,11.7,973.78,1.1474293,-1.4,2.0,43.0,43.0
3.752662181854248,2.659,2.365,26.294,-27.205,-1.047,-2.12,-1.215,21.59,345.15,35.77,11.7,973.77,1.1443632,-1.4,2.0,43.0,43.0
3.902726650238037,4.482,3.887,28.9,-29.865,-1.878,-3.403,-2.232,22.06,345.44,35.79,11.7,973.81,1.1424686,-1.4,1.9,43.0,43.0
4.052799463272095,4.415,4.144,27.375,-20.192,-1.905,-3.68,-1.524,21.89,345.34,35.78,11.68,973.79,1.1431408,-1.4,1.9,42.0,42.0
4.202887773513794,3.532,3.367,27.375,-17.576,-1.548,-2.99,-1.067,21.49,345.09,35.74,11.66,973.82,1.1448468,-1.4,1.9,42.0,42.0
4.352921724319458,2.897,2.813,26.788,-13.814,-1.268,-2.512,-0.692,21.29,344.96,35.75,11.67,973.81,1.1456558,-1.4,1.9,43.0,43.0
4.503009796142578,2.247,2.166,12.419,-15.485,-0.466,-2.115,-0.6,21.15,344.87,35.75,11.67,973.82,1.1462674,-1.4,2.0,42.0,42.0
4.653047800064087,1.627,1.506,352.062,-22.282,0.208,-1.491,-0.617,21.2,344.91,35.75,11.67,973.8,1.1460296,-1.5,1.9,42.0,42.0
4.803134918212891,1.136,1.032,350.212,-24.717,0.175,-1.017,-0.475,20.97,344.76,35.77,11.68,973.79,1.1469616,-1.4,1.9,42.0,42.0
4.953663110733032,0.812,0.769,356.087,-18.682,0.052,-0.767,-0.26,20.81,344.66,35.75,11.67,973.78,1.1476181,-1.4,1.9,43.0,43.0
5.103685617446899,0.732,0.692,353.528,-18.869,0.078,-0.688,-0.237,20.79,344.65,35.75,11.68,973.79,1.1477129,-1.4,1.9,43.0,43.0
5.253795862197876,0.732,0.671,356.932,-23.541,0.036,-0.67,-0.292,20.77,344.64,35.77,11.68,973.77,1.1477594,-1.4,1.9,42.0,42.0
5.4039061069488525,0.92,0.87,9.251,-19.024,-0.14,-0.858,-0.3,20.71,344.6,35.78,11.68,973.78,1.1480398,-1.4,1.8,42.0,42.0
5.553939580917358,1.721,1.528,348.683,-27.385,0.3,-1.499,-0.792,20.82,344.67,35.72,11.67,973.79,1.1476032,-1.5,1.9,42.0,42.0
